wallet_id,anomaly_reason,aggregated_lp_score,total_deposit_all_time,sum_pool_total_score,diff_sum_agg,score_per_deposit
0x01d7d5750780103f653771259084f97366b61922,robust-z; ,270.0,301.682551834456,270.0,0.0,0.8949804964131922
0x012db66110d211e5aa15171b15265384f22fd1de,zero_deposit; ,62.1,0.0,54.0,-8.100000000000001,
0x01f4aa373453409de6456505e3b96205adb5d305,zero_deposit; ,79.0,0.0,79.0,0.0,
0x02b860783d1957f9dc0870185b8bf7714eed9604,IQR; robust-z; ,578.0,123.74984421512124,578.0,0.0,4.670712950516774
0x027943f870442fe48f51a5e29d215f181b5f9e7d,zero_deposit; ,100.0,0.0,100.0,0.0,
0x01fb2e0fb8b4b5316d97e7c0333ab9e2cdea7008,IQR; robust-z; ,200.0,124.09974678717622,200.0,0.0,1.6116068338397842
0x01fa529ef7c3cabc3eb0549e937454ec9255f6c3,zero_deposit; ,59.0,0.0,59.0,0.0,
0x02efc0988b8a7c94d06156842d61b9de4134af4e,zero_deposit; ,52.56,0.0,150.0,97.44,
0x02ce06d2c20d76b575e2b256d8d0697adb0882de,IQR; robust-z; ,527.0,192.74231978071813,620.0,93.0,2.7342204898206317
0x025a0c3714016a370d723bc28d304e800c62c7a6,IQR; robust-z; ,256.7,208.59522679392,302.0,45.30000000000001,1.2306130104003037
0x01b85f6a9db5575e5e6a73c9ba108e0d77d04dcd,IQR; robust-z; ,391.0,241.342638,340.0,-51.0,1.6201032823715138
0x0195188c4013ae5febe6705100b8c97b7894f5de,zero_deposit; ,52.0,0.0,52.0,0.0,
0x02a8b15e0d16494c5777d2dc3f26ca48e1c011b4,IQR; robust-z; ,235.0,185.0939089168089,235.0,0.0,1.2696257882025797
0x00f4c30dc02d516712ee7824047604e23970f358,IQR; robust-z; ,503.2,140.52845791014582,592.0,88.80000000000001,3.5807693863811347
0x0107681b75b293beb76f28bf23f63e30f70e62c5,mismatch_sum_agg; ,284.7,43248.27382784827,1311.0,1026.3,0.00658292169378277
0x01bfead99576361bece9cdb6517a00dc3dff75bd,IQR; robust-z; ,555.0,349.95683270724385,555.0,0.0,1.585909884103577
0x00fddf15962fd7a4381e83dc82645cf2a45db33d,zero_deposit; ,104.65,0.0,91.0,-13.650000000000006,
0x01fcec36fd0d5235e92b4649331d96479f961e38,IQR; robust-z; ,350.0,322.6667682036149,350.0,0.0,1.084710402464306
0x025a72b8ca25e5e5d9e6d72730a21d4591ee1606,IQR; robust-z; ,467.5,395.7363462722746,550.0,82.5,1.1813420839498794
0x01af02477a95b254886dffa82f26e9f464505368,IQR; robust-z; ,466.0,116.75235576881929,466.0,0.0,3.9913541523969256
0x01ad117c5c99ec917989d3b5449ae051239ad2d9,robust-z; ,543.15,572.2608531317393,639.0,95.85000000000002,0.9491300986736589
0x014d02185b7da9655367dff0cfa528ed755dd402,IQR; robust-z; ,589.0,247.77061419554957,589.0,0.0,2.377198772793693
0x018877b9617b1d4b1760b53c3af4931677a42cf7,IQR; robust-z; ,364.0,102.89270439015012,364.0,0.0,3.5376657864854955
